,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,12683010,49543,NIFTY25DECFUT,NIFTY,0.0,2025-12-30,0.0,0.1,75,FUT,NFO-FUT,NFO
1,12602626,49229,NIFTY26JANFUT,NIFTY,0.0,2026-01-27,0.0,0.1,65,FUT,NFO-FUT,NFO
2,15150594,59182,NIFTY26FEBFUT,NIFTY,0.0,2026-02-24,0.0,0.1,65,FUT,NFO-FUT,NFO
3,12674050,49508,BANKNIFTY25DECFUT,BANKNIFTY,0.0,2025-12-30,0.0,0.2,35,FUT,NFO-FUT,NFO
4,12601346,49224,BANKNIFTY26JANFUT,BANKNIFTY,0.0,2026-01-27,0.0,0.2,30,FUT,NFO-FUT,NFO
5,15148802,59175,BANKNIFTY26FEBFUT,BANKNIFTY,0.0,2026-02-24,0.0,0.2,30,FUT,NFO-FUT,NFO
6,12683522,49545,360ONE25DECFUT,360ONE,0.0,2025-12-30,0.0,0.1,500,FUT,NFO-FUT,NFO
7,12604162,49235,360ONE26JANFUT,360ONE,0.0,2026-01-27,0.0,0.1,500,FUT,NFO-FUT,NFO
8,15152130,59188,360ONE26FEBFUT,360ONE,0.0,2026-02-24,0.0,0.1,500,FUT,NFO-FUT,NFO
9,12684290,49548,ABB25DECFUT,ABB,0.0,2025-12-30,0.0,0.5,125,FUT,NFO-FUT,NFO
10,12604418,49236,ABB26JANFUT,ABB,0.0,2026-01-27,0.0,0.5,125,FUT,NFO-FUT,NFO
11,15152386,59189,ABB26FEBFUT,ABB,0.0,2026-02-24,0.0,0.5,125,FUT,NFO-FUT,NFO
12,12686594,49557,ABCAPITAL25DECFUT,ABCAPITAL,0.0,2025-12-30,0.0,0.05,3100,FUT,NFO-FUT,NFO
13,12604674,49237,ABCAPITAL26JANFUT,ABCAPITAL,0.0,2026-01-27,0.0,0.05,3100,FUT,NFO-FUT,NFO
14,15152642,59190,ABCAPITAL26FEBFUT,ABCAPITAL,0.0,2026-02-24,0.0,0.05,3100,FUT,NFO-FUT,NFO
15,12687874,49562,ADANIENSOL25DECFUT,ADANIENSOL,0.0,2025-12-30,0.0,0.05,675,FUT,NFO-FUT,NFO
16,12605186,49239,ADANIENSOL26JANFUT,ADANIENSOL,0.0,2026-01-27,0.0,0.05,675,FUT,NFO-FUT,NFO
17,15153410,59193,ADANIENSOL26FEBFUT,ADANIENSOL,0.0,2026-02-24,0.0,0.05,675,FUT,NFO-FUT,NFO
18,12688130,49563,ADANIENT25DECFUT,ADANIENT,0.0,2025-12-30,0.0,0.1,309,FUT,NFO-FUT,NFO
19,12605442,49240,ADANIENT26JANFUT,ADANIENT,0.0,2026-01-27,0.0,0.1,309,FUT,NFO-FUT,NFO
20,15153666,59194,ADANIENT26FEBFUT,ADANIENT,0.0,2026-02-24,0.0,0.1,309,FUT,NFO-FUT,NFO
21,12688898,49566,ADANIGREEN25DECFUT,ADANIGREEN,0.0,2025-12-30,0.0,0.1,600,FUT,NFO-FUT,NFO
22,12605698,49241,ADANIGREEN26JANFUT,ADANIGREEN,0.0,2026-01-27,0.0,0.1,600,FUT,NFO-FUT,NFO
23,15155458,59201,ADANIGREEN26FEBFUT,ADANIGREEN,0.0,2026-02-24,0.0,0.1,600,FUT,NFO-FUT,NFO
