symbol,token,expiry,strike,type,lot_size,ltp,volume,oi,bid,ask
NIFTY25D2324200CE,14571266,2025-12-23,24200,CE,75,1941.0,0,2325,1973.35,1996.95
NIFTY25D2324200PE,14571522,2025-12-23,24200,PE,75,0.4,2575275,1376700,0.4,0.45
NIFTY25D2324300CE,14572290,2025-12-23,24300,CE,75,1888.6,150,150,1883.7,1888.65
NIFTY25D2324300PE,14572546,2025-12-23,24300,PE,75,0.45,1687650,935325,0.4,0.45
NIFTY25D2324400CE,14573314,2025-12-23,24400,CE,75,1560.3,0,225,1781.0,1796.9
NIFTY25D2324400PE,14573570,2025-12-23,24400,PE,75,0.4,1378050,1024050,0.4,0.45
NIFTY25D2324500CE,14574338,2025-12-23,24500,CE,75,1695.65,675,7125,1684.75,1688.55
NIFTY25D2324500PE,14574594,2025-12-23,24500,PE,75,0.4,16361100,4743150,0.4,0.45
NIFTY25D2324600CE,14575362,2025-12-23,24600,CE,75,1560.55,0,1200,1582.65,1590.8
NIFTY25D2324600PE,14575618,2025-12-23,24600,PE,75,0.4,2802525,1613925,0.4,0.45
NIFTY25D2324700CE,14576386,2025-12-23,24700,CE,75,1458.4,0,2250,1482.85,1489.4
NIFTY25D2324700PE,14576642,2025-12-23,24700,PE,75,0.5,4245825,860025,0.45,0.5
NIFTY25D2324800CE,14577410,2025-12-23,24800,CE,75,1372.85,300,5925,1382.85,1388.3
NIFTY25D2324800PE,14577666,2025-12-23,24800,PE,75,0.45,4832925,1359900,0.45,0.5
NIFTY25D2324900CE,14578434,2025-12-23,24900,CE,75,1255.25,0,5550,1283.95,1299.45
NIFTY25D2324900PE,14578690,2025-12-23,24900,PE,75,0.6,9937425,3231450,0.55,0.6
NIFTY25D2325000CE,14579458,2025-12-23,25000,CE,75,1183.8,29100,41400,1185.7,1188.7
NIFTY25D2325000PE,14579714,2025-12-23,25000,PE,75,0.6,28978650,6890550,0.55,0.6
NIFTY25D2325100CE,14580482,2025-12-23,25100,CE,75,1089.25,1350,19575,1085.65,1089.25
NIFTY25D2325100PE,14580738,2025-12-23,25100,PE,75,0.6,17309775,2859300,0.55,0.6
NIFTY25D2325200CE,14581506,2025-12-23,25200,CE,75,976.45,11550,28650,986.45,988.55
NIFTY25D2325200PE,14581762,2025-12-23,25200,PE,75,0.7,21999825,5852775,0.65,0.7
NIFTY25D2325300CE,14582786,2025-12-23,25300,CE,75,875.65,22350,46650,885.8,887.5
NIFTY25D2325300PE,14583042,2025-12-23,25300,PE,75,0.8,20987325,4047450,0.75,0.8
NIFTY25D2325400CE,14583810,2025-12-23,25400,CE,75,788.5,14250,55125,785.75,788.3
NIFTY25D2325400PE,14584066,2025-12-23,25400,PE,75,0.85,30518475,5949825,0.8,0.85
NIFTY25D2325500CE,14584834,2025-12-23,25500,CE,75,687.05,123225,117225,687.05,687.85
NIFTY25D2325500PE,14585090,2025-12-23,25500,PE,75,0.9,62105250,10944825,0.85,0.9
